,id,ra,dec,z_spec,z_phot,log_mass,log_sfr,is_mass_clumpy,is_UV_clumpy
222,2801,150.46602,1.7278388,-1.0,1.068,10.03,1.4465061005489406,True,False
223,2809,150.647,1.7281288,-1.0,1.088,9.95,1.2750347925613958,False,True
224,2820,150.4361,1.7280962,-1.0,1.109,10.51,1.5774803104132402,True,True
225,2823,150.39323,1.7284244,-1.0,0.948,10.13,0.9826329943948496,False,True
226,2824,150.60971,1.728093,-1.0,0.565,9.84,0.3776704393343231,False,True
227,2849,150.69405,1.7285767,-1.0,0.678,10.36,0.8596785766284483,True,True
228,2862,150.37801,1.7297381,-1.0,1.4,10.12,1.2889419338528785,True,True
229,2871,150.62663,1.7294155,-1.0,1.33,10.16,0.4329692908744057,False,True
230,2886,150.69325,1.7286382,-1.0,0.967,10.3,1.2593071212116786,True,True
231,2901,150.68394,1.7295696,-1.0,1.13,10.55,1.4030175142222805,False,True
232,2910,150.38664,1.729284,-1.0,0.729,10.72,1.3392327482989612,False,True
233,2913,150.59898,1.7316718,-1.0,1.261,10.41,0.8898617212581884,False,True
234,2921,150.64882,1.731508,-1.0,0.504,9.85,0.229169702539101,False,True
235,2924,150.44595,1.7314976,-1.0,0.519,10.33,-0.3260580013659122,False,False
236,2943,150.6162,1.7323408,-1.0,1.088,10.31,1.6860102913152857,False,True
237,2946,150.45438,1.7323211,-1.0,0.89,9.93,1.004106323279658,False,False
238,2968,150.68512,1.7325488,-1.0,0.835,10.52,1.4104397862103466,False,True
239,2978,150.44441,1.732111,-1.0,0.565,10.55,0.8614746688571686,False,True
240,2982,150.44588,1.7323,-1.0,0.872,10.5,1.7251272350645288,True,True
241,2992,150.66206,1.733041,-1.0,1.523,10.27,1.8184304522542136,True,True
242,2996,150.39896,1.734212,-1.0,0.835,10.22,-0.5376020021010439,True,True
243,2999,150.37935,1.7331215,-1.0,1.047,10.2,1.3126004392612594,True,True
244,3006,150.60793,1.7336925,-1.0,0.596,10.07,0.571009672309305,False,True
245,3024,150.48401,1.7336017,-1.0,0.835,10.89,1.0285712526925377,False,True
246,3031,150.42995,1.7334878,-1.0,1.152,10.66,1.5414419452545254,False,True
247,3040,150.48714,1.7324528,-1.0,0.534,9.84,0.6830470382388496,False,True
248,3050,150.61685,1.7360134,-1.0,1.498,10.56,1.60748719198487,True,True
249,3052,150.67612,1.7359899,-1.0,1.261,9.99,1.4571852565536685,True,True
250,3055,150.68344,1.7356875,-1.0,1.261,10.6,2.023375938139562,True,True
251,3062,150.49281,1.7362128,-1.0,1.261,10.12,0.5046067706419538,False,False
252,3070,150.48138,1.7359124,-1.0,0.694,9.82,0.761927838420529,False,True
253,3077,150.42128,1.7317607,-1.0,0.565,10.83,1.557302638328947,False,True
254,3078,150.37666,1.7366074,-1.0,0.872,10.35,1.0520780304841693,False,False
255,3079,150.67747,1.7368023,-1.0,1.523,10.77,0.5254335534288201,False,False
256,3091,150.66946,1.7368132,-1.0,0.628,10.29,0.6443400988263226,False,False
257,3124,150.44788,1.7388935,-1.0,1.152,10.14,1.2679925903655824,False,False
258,3135,150.58209,1.7385291,-1.0,1.449,10.44,1.0267374942387475,True,True
259,3137,150.65302,1.7388372,-1.0,1.548,10.85,1.7548832282521676,False,True
260,3194,150.42589,1.7413768,-1.0,1.261,10.06,1.5727322340176817,False,True
261,3198,150.65784,1.7406054,-1.0,1.13,10.22,1.1902476330381964,False,True
262,3219,150.42613,1.7409594,-1.0,1.007,10.38,1.236537261488694,False,False
263,3246,150.38995,1.7411976,-1.0,0.967,10.31,1.3258644366153465,False,True
