ID, Smass, SFR, Mass_Clumpy, UV_Clumpy, O3727, O4959, O5007, HBeta, R23
40160.0,10.75,1.7672597873698157,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
40318.0,10.41,1.5748411950633847,0.0,0.0,1.0101,696.1642,-99.0,-99.0,-99.0,-5.031961616161617
40325.0,10.15,0.7480328941301435,0.0,0.0,0.6735,-99.0,38.4694,63.4045,340.3343,0.008444344281490285
40560.0,10.51,1.1322596895310446,0.0,1.0,0.8275,2245.6025,138.0761,564.3,817.5828,3.605724826892151
40663.0,10.69,1.326909078957348,0.0,1.0,0.9367,175.4331,-99.0,-99.0,-99.0,0.2279484848484849
40961.0,10.73,1.0661767857720066,0.0,0.0,0.7429,357.1192,-99.0,-99.0,-99.0,-1.6072646464646463
40961.0,10.73,1.0661767857720066,0.0,0.0,0.7429,357.1192,-99.0,-99.0,-99.0,-1.6072646464646463
41073.0,11.04,1.59414936579828,0.0,1.0,0.9371,1653.8883,-99.0,-99.0,-99.0,-14.705942424242425
41200.0,10.02,0.5995555909859803,0.0,0.0,0.7486,157.9446,-99.0,-99.0,89.2133,-0.4489846244898461
41282.0,9.86,0.7437448785924613,0.0,1.0,0.9829,563.3615,-99.0,-99.0,-99.0,-3.6905202020202017
41325.0,10.91,1.6419894054365227,0.0,1.0,0.6739,2449.1108,2447.127,5735.9795,1311.7118,8.105604676271113
41359.0,10.6,0.5595475555804343,0.0,0.0,0.7428,276.994,24.0075,-99.0,169.9409,1.188657350879041
41507.0,10.99,1.4293323128283315,0.0,0.0,1.1635,628.9882,-99.0,-99.0,-99.0,-4.3534161616161615
52635.0,10.05,-0.149966742310231,0.0,0.0,0.7997,-99.0,-99.0,-99.0,-99.0,3.0
52657.0,10.49,0.8484970180903666,1.0,1.0,0.6627,-99.0,144.687,428.7222,88.0567,5.387542344875517
52706.0,10.16,1.34143452457814,0.0,0.0,0.672,474.9383,70.7325,-99.0,272.0112,1.6421044427582394
53098.0,10.37,1.4387637904176938,0.0,0.0,0.9866,841.0462,-99.0,-99.0,-99.0,-6.495416161616162
53144.0,10.47,0.9738664498353784,0.0,0.0,0.7443,269.0746,-99.0,-99.0,342.1258,0.20774405204167581
53162.0,10.76,1.6332664111554245,0.0,0.0,0.8038,704.5183,-99.0,-99.0,-99.0,-5.1163464646464645
53310.0,10.67,1.1126385106184924,0.0,1.0,0.7583,-99.0,56.425,188.4231,518.912,0.28106519024420323
53310.0,10.67,1.1126385106184924,0.0,1.0,0.7583,-99.0,56.425,188.4231,518.912,0.28106519024420323
53372.0,10.38,1.316368790408991,0.0,0.0,0.8448,338.8246,-99.0,-99.0,-99.0,-1.4224707070707068
53400.0,10.58,0.7861122837198266,0.0,0.0,0.737,117.8725,23.603,34.0758,63.5302,2.7632732149434447
53615.0,10.79,1.4611682533873829,0.0,1.0,0.746,-99.0,816.7856,2209.5615,669.97,4.369370419571025
53798.0,10.05,1.1431085227625126,1.0,1.0,0.9765,1078.6152,-99.0,-99.0,-99.0,-8.89510303030303
53845.0,10.05,1.3023525779195626,0.0,0.0,0.7437,1945.6831,274.7802,-99.0,1008.3074,2.1039846578533488
54267.0,11.09,1.8507197343762984,0.0,0.0,1.0801,373.0031,-99.0,-99.0,-99.0,-1.767708080808081
54311.0,10.33,2.580216532356151,1.0,0.0,0.7854,1033.4137,-99.0,-99.0,380.9168,2.193165804186111
